01	07	17	23	25	31
04	14	16	23	28	29
05	15	19	25	26	29
06	08	15	19	20	31
01	07	08	10	12	24
03	06	18	19	21	31
03	15	17	23	27	30
02	10	11	17	18	29
03	09	13	22	23	25
08	13	17	18	20	27
04	06	15	28	32	33
05	08	10	11	27	28
11	14	16	18	24	33
01	15	20	22	25	28
11	18	20	23	31	32
01	10	25	27	30	32
03	05	11	15	20	23
10	12	15	25	26	27
01	03	06	10	11	29
03	16	18	31	32	33
02	04	11	12	18	32
01	02	09	10	15	22
21	22	24	31	32	33
05	12	17	18	24	28
02	04	06	16	18	19
06	07	08	19	22	23
02	05	06	07	11	15
01	06	08	09	14	22
03	10	11	14	15	32
09	13	14	19	22	25
13	21	24	27	31	32
05	07	20	22	30	32
06	08	14	19	23	25
03	04	18	26	27	33
03	13	14	16	25	27
08	12	21	22	27	31
08	11	15	17	23	25
05	14	17	22	23	28
01	13	19	24	26	29
01	07	15	16	20	27
01	06	09	16	25	26
05	08	18	25	26	31
01	07	14	24	25	28
11	13	16	21	22	23
10	11	18	23	31	33
05	13	18	21	26	30
01	02	05	12	20	22
04	18	19	24	25	26
04	05	13	18	19	25
02	03	06	19	25	29
02	09	15	22	23	24
02	06	11	19	21	28
01	03	14	26	29	33
02	11	14	15	29	33
03	07	08	14	25	32
06	10	11	20	29	32
01	02	17	20	25	28
01	05	09	20	28	32
10	11	12	21	26	33
04	07	16	20	24	30
04	18	20	21	29	33
06	10	16	19	24	33
06	11	13	17	25	32
01	02	04	10	14	23
06	09	12	14	18	27
03	05	12	29	30	32
01	05	10	16	18	31
02	07	17	21	23	26
04	10	25	26	30	33
05	06	08	12	22	24
04	09	18	21	32	33
06	12	14	20	22	24
01	02	12	16	20	26
04	07	13	20	29	33
14	15	17	22	24	29
03	10	14	17	18	30
02	05	09	15	20	24
03	07	08	15	29	30
07	09	12	13	22	24
09	11	14	20	27	30
02	09	14	15	16	23
11	16	19	22	25	30
02	05	06	13	16	19
04	09	15	16	19	27
06	13	17	19	23	31
08	10	17	20	27	30
01	04	09	12	15	18
09	16	17	19	22	26
01	04	06	14	28	33
02	05	10	11	17	21
05	06	10	16	20	25
02	18	19	24	25	33
09	10	11	12	18	23
04	08	13	25	30	31
04	06	08	13	22	32
07	12	13	16	26	31
05	15	17	19	20	30
01	03	06	20	21	26
07	09	10	12	22	26
04	06	18	22	25	33
01	04	10	11	14	27
03	05	06	09	15	32
05	07	20	23	27	31
01	02	04	10	18	19
01	03	04	11	19	23
01	12	20	25	30	31
06	07	12	16	22	25
10	13	14	18	20	31
03	04	06	25	26	30
05	09	12	17	27	30
01	04	06	08	21	24
06	10	21	28	29	31
07	08	20	23	24	32
01	03	08	13	18	23
08	12	18	19	23	32
15	23	24	25	28	29
01	06	07	08	27	30
08	17	24	26	28	33
07	10	11	17	23	28
01	05	11	22	23	26
04	19	20	22	28	33
21	22	23	24	25	32
02	16	18	19	27	30
13	14	20	21	25	33
01	02	09	14	22	25
03	08	11	14	18	23
02	07	09	14	18	28
04	07	12	14	26	32
04	13	16	19	21	25
11	19	22	26	31	32
12	15	16	21	26	29
07	14	19	21	22	23
03	04	06	11	23	28
06	09	10	14	28	30
03	11	12	16	21	23
02	12	13	18	25	27
03	06	11	26	30	32
01	11	12	18	25	27
11	15	20	21	26	33
09	12	20	24	28	31
06	08	13	15	22	33
11	12	13	19	26	28
03	10	21	23	27	33
01	08	17	20	21	22
05	10	17	23	26	32
05	09	10	12	17	19
13	14	20	25	27	31
02	07	08	09	17	29
02	20	21	28	31	33
14	18	19	26	30	31
01	14	16	17	20	31
07	18	24	29	31	33
01	08	11	26	28	31
